Exercise,Muscle,Equipment,Difficulty,Male,Female
Cable Single Arm Neutral Grip Row,"Biceps, Traps (mid-back), Lats",Cables,Novice,https://musclewiki.com/cables/male/biceps/cable-single-arm-neutral-grip-row,https://musclewiki.com/cables/female/biceps/cable-single-arm-neutral-grip-row
Cable Supinating Row,"Biceps, Lats, Posterior Deltoid, Rear Shoulders",Cables,Beginner,https://musclewiki.com/cables/male/biceps/cable-supinating-row,https://musclewiki.com/cables/female/biceps/cable-supinating-row
Cable Archer Row,"Biceps, Lats, Posterior Deltoid, Rear Shoulders",Cables,Intermediate,https://musclewiki.com/cables/male/biceps/cable-archer-row,https://musclewiki.com/cables/female/biceps/cable-archer-row
Cable Seated Bayesian Reverse Curl,"Biceps, Forearms, Wrist Extensors, Wrist Flexors",Cables,Intermediate,https://musclewiki.com/cables/male/biceps/cable-seated-bayesian-reverse-curl,https://musclewiki.com/cables/female/biceps/cable-seated-bayesian-reverse-curl
Cable Seated Bayesian Hammer Curl,Biceps,Cables,Beginner,https://musclewiki.com/cables/male/biceps/cable-seated-bayesian-hammer-curl,https://musclewiki.com/cables/female/biceps/cable-seated-bayesian-hammer-curl
Cable Seated Bayesian Curl,"Biceps, Long Head Bicep, Short Head Bicep",Cables,Beginner,https://musclewiki.com/cables/male/biceps/cable-seated-bayesian-curl,https://musclewiki.com/cables/female/biceps/cable-seated-bayesian-curl
Cable Bar Curl,"Biceps, Long Head Bicep, Short Head Bicep",Cables,Novice,https://musclewiki.com/cables/male/biceps/cable-bar-curl,https://musclewiki.com/cables/female/biceps/cable-bar-curl
Cable Rope Hammer Curl,"Biceps, Long Head Bicep, Short Head Bicep",Cables,Novice,https://musclewiki.com/cables/male/biceps/cable-rope-hammer-curl,https://musclewiki.com/cables/female/biceps/cable-rope-hammer-curl
Cable Hammer Bayesian Curl,"Biceps, Long Head Bicep",Cables,Novice,https://musclewiki.com/cables/male/biceps/cable-hammer-bayesian-curl,https://musclewiki.com/cables/female/biceps/cable-hammer-bayesian-curl
Cable Reverse Bayesian Curl,"Biceps, Forearms, Wrist Extensors, Wrist Flexors",Cables,Beginner,https://musclewiki.com/cables/male/biceps/cable-reverse-bayesian-curl,https://musclewiki.com/cables/female/biceps/cable-reverse-bayesian-curl
